model,picture_path
1952 Alpine Renault 1300,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1952 Alpine Renault 1300\\1.renault_alpine_a_110_%28sp%29.jpg
1972 Alfa Romeo GTA,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1972 Alfa Romeo GTA\\1.alfa_gta.jpg
1962 LanciaA Delta 16V,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1962 LanciaA Delta 16V\\1.xlancia-hf-001-0c759fd3.jpg.pagespeed.ic.btrzksfla8.jpg
1968 Ford Mustang,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1968 Ford Mustang\\1.1968_ford_mustang_fastback_153546274842a7ce40810bf1-1.jpg
2001 Ferrari Enzo,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\2001 Ferrari Enzo\\1.orange_enzo_ferrari_%287191948164%29.jpg
1969 Corvair Monza,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1969 Corvair Monza\\1.56691490-770-0@2x.jpg
1968 Dodge Charger,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1968 Dodge Charger\\1.1968-dodge-charger-hemi-archived-instrumented-test-review-car-and-driver-photo-611865-s-original.jpg
1969 Ford Falcon,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1969 Ford Falcon\\1.8fe8ea88b4e5fe0649e32c69b9b6d803.jpg
1970 Plymouth Hemi Cuda,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1970 Plymouth Hemi Cuda\\1.626935.jpg
1969 Dodge Charger,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1969 Dodge Charger\\1.1969_dodge_charger_158514236776b6c5e8f91969_dodge_charger_1584861916f98764dae9ac9658-a205-48c9-856d-1ddfc20db1cc-taz78c.jpg
1993 Mazda RX-7,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1993 Mazda RX-7\\1.102285c22fa8a0a386b92375385d4ac4.jpg
1937 Lincoln Berline,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1937 Lincoln Berline\\1.188701_front_3-4_web.jpg
1936 Mercedes-Benz 500K Special Roadster,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1936 Mercedes-Benz 500K Special Roadster\\1.mercedes-benz_500k_special_roadster_1936_1000_0001.jpg
1965 Aston Martin DB5,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1965 Aston Martin DB5\\1.1965-aston-martin-db5-bond-car-_0.jpg
1917 Grand Touring Sedan,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1917 Grand Touring Sedan\\1.s-l300.jpg
1948 Porsche 356-A Roadster,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1948 Porsche 356-A Roadster\\1.porsche-356-1-roadster-31092.jpg
1995 Honda Civic,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1995 Honda Civic\\1.1993-1995_honda_civic_gli_3-door_hatchback_01.jpg
1998 Chrysler Plymouth Prowler,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1998 Chrysler Plymouth Prowler\\1.2008-10-05_red_plymouth_prowler_at_south_square.jpg
1911 Ford Town Car,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1911 Ford Town Car\\1.66a396457cecba764ebb1c449540dbd2.jpg
1932 Model A Ford J-Coupe,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1932 Model A Ford J-Coupe\\1.1932-duesenberg-model-j-victoria-coupe-by-judkins.jpg
1928 Mercedes-Benz SSK,C:\\Users\\podar\\PycharmProjects\\pythonProject1\\downloads\\1928 Mercedes-Benz SSK\\1.cmc-m-209-heroshot-final.jpg
